ps_id,rst_client,rst_server,rx_count,tx_count,rx_size,tx_size,time,throughput
1,0,0,0,0,0,0,2023-11-07T08:06:00,0
1,0,0,0,0,0,0,2023-11-07T08:06:31,0
1,0,0,0,0,0,0,2023-11-07T08:06:32,0
1,0,0,0,0,0,0,2023-11-07T08:06:33,0
1,0,0,1,0,1073,0,2023-11-07T08:06:34,0
1,0,0,0,0,0,0,2023-11-07T08:06:35,0
1,0,0,0,0,0,0,2023-11-07T08:06:36,0
1,0,0,0,0,0,0,2023-11-07T08:06:37,0
1,0,0,0,0,0,0,2023-11-07T08:06:38,0
1,0,0,1,0,1105,0,2023-11-07T08:06:39,0
1,0,0,1,0,1043,0,2023-11-07T08:06:40,0
1,0,0,0,0,0,0,2023-11-07T08:06:41,0
1,0,0,1,0,335,0,2023-11-07T08:06:42,0
1,0,0,0,0,0,0,2023-11-07T08:06:43,0
1,0,0,0,0,0,0,2023-11-07T08:06:44,0
1,0,0,0,0,0,0,2023-11-07T08:06:45,0
1,0,0,1,0,1043,0,2023-11-07T08:06:46,0
1,0,0,0,0,0,0,2023-11-07T08:06:47,0
1,0,0,0,0,0,0,2023-11-07T08:06:48,0
1,0,0,0,0,0,0,2023-11-07T08:06:49,0
1,0,0,0,0,0,0,2023-11-07T08:06:50,0
1,0,0,0,0,0,0,2023-11-07T08:06:51,0
1,0,0,0,0,0,0,2023-11-07T08:06:52,0
1,0,0,0,0,0,0,2023-11-07T08:06:53,0
1,0,0,0,0,0,0,2023-11-07T08:06:54,0
1,0,0,0,0,0,0,2023-11-07T08:06:55,0
1,0,0,0,0,0,0,2023-11-07T08:06:56,0
1,0,0,0,0,0,0,2023-11-07T08:06:57,0
1,0,0,0,0,0,0,2023-11-07T08:06:58,0
