ps_id,rst_client,rst_server,rx_count,tx_count,rx_size,tx_size,time,throughput
1,0,0,0,0,0,0,2023-11-08T04:06:00,0
1,0,0,0,0,0,0,2023-11-08T04:06:42,0
1,0,0,0,0,0,0,2023-11-08T04:06:43,0
1,0,0,0,0,0,0,2023-11-08T04:06:44,0
1,0,0,0,0,0,0,2023-11-08T04:06:45,0
1,0,0,0,0,0,0,2023-11-08T04:06:46,0
1,0,0,0,0,0,0,2023-11-08T04:06:47,0
1,0,0,0,0,0,0,2023-11-08T04:06:48,0
1,0,0,0,0,0,0,2023-11-08T04:06:49,0
1,0,0,0,0,0,0,2023-11-08T04:06:50,0
1,0,0,0,0,0,0,2023-11-08T04:06:51,0
1,0,0,0,0,0,0,2023-11-08T04:06:52,0
1,0,0,0,0,0,0,2023-11-08T04:06:53,0
1,0,0,0,0,0,0,2023-11-08T04:06:54,0
1,0,0,0,0,0,0,2023-11-08T04:06:55,0
1,0,0,1,0,157,0,2023-11-08T04:06:56,0
1,0,0,1,0,157,0,2023-11-08T04:06:57,0
1,0,0,0,0,0,0,2023-11-08T04:06:58,0
1,0,0,1,0,157,0,2023-11-08T04:06:59,0
1,0,0,0,0,0,0,2023-11-08T04:07:00,0
