ps_id,rst_client,rst_server,rx_count,tx_count,rx_size,tx_size,time,throughput
1,0,0,0,0,0,0,2023-11-07T06:24:01,0
1,0,0,0,0,0,0,2023-11-07T06:24:02,0
1,0,0,1,0,342,0,2023-11-07T06:24:03,0
1,0,0,1,0,1019,0,2023-11-07T06:24:04,0
1,0,0,2,0,1002,0,2023-11-07T06:24:05,0
1,0,0,0,0,0,0,2023-11-07T06:24:06,0
1,0,0,1,0,335,0,2023-11-07T06:24:07,0
1,0,0,0,0,0,0,2023-11-07T06:24:08,0
1,0,0,0,0,0,0,2023-11-07T06:24:09,0
1,0,0,0,0,0,0,2023-11-07T06:24:10,0
1,0,0,0,0,0,0,2023-11-07T06:24:11,0
1,0,0,0,0,0,0,2023-11-07T06:24:12,0
1,0,0,0,0,0,0,2023-11-07T06:24:13,0
1,0,0,0,0,0,0,2023-11-07T06:24:14,0
1,0,0,0,0,0,0,2023-11-07T06:24:15,0
