ps_id,rst_client,rst_server,rx_count,tx_count,rx_size,tx_size,time,throughput
1,0,0,0,0,0,0,2023-11-07T07:58:01,0
1,0,0,0,0,0,0,2023-11-07T07:58:02,0
1,0,0,0,0,0,0,2023-11-07T07:58:03,0
1,0,0,0,0,0,0,2023-11-07T07:58:04,0
1,0,0,1,0,633,0,2023-11-07T07:58:05,0
1,0,0,0,0,0,0,2023-11-07T07:58:06,0
1,0,0,8,0,4768,0,2023-11-07T07:58:07,0
1,0,0,0,0,0,0,2023-11-07T07:58:08,0
1,0,0,1,0,157,0,2023-11-07T07:58:09,0
1,0,0,2,0,492,0,2023-11-07T07:58:10,0
1,0,0,0,0,0,0,2023-11-07T07:58:11,0
1,0,0,1,0,157,0,2023-11-07T07:58:12,0
1,0,0,1,0,589,0,2023-11-07T07:58:13,0
1,0,0,0,0,0,0,2023-11-07T07:58:14,0
1,0,0,0,0,0,0,2023-11-07T07:58:15,0
1,0,0,1,0,157,0,2023-11-07T07:58:16,0
1,0,0,0,0,0,0,2023-11-07T07:58:17,0
1,0,0,0,0,0,0,2023-11-07T07:58:18,0
1,0,0,0,0,0,0,2023-11-07T07:58:19,0
1,0,0,0,0,0,0,2023-11-07T07:58:20,0
1,0,0,0,0,0,0,2023-11-07T07:58:21,0
1,0,0,0,0,0,0,2023-11-07T07:58:22,0
1,0,0,0,0,0,0,2023-11-07T07:58:23,0
1,0,0,1,0,157,0,2023-11-07T07:58:24,0
1,0,0,0,0,0,0,2023-11-07T07:58:25,0
1,0,0,0,0,0,0,2023-11-07T07:58:26,0
1,0,0,0,0,0,0,2023-11-07T07:58:27,0
1,0,0,0,0,0,0,2023-11-07T07:58:28,0
1,0,0,0,0,0,0,2023-11-07T07:58:29,0
1,0,0,0,0,0,0,2023-11-07T07:58:30,0
1,0,0,0,0,0,0,2023-11-07T07:58:31,0
1,0,0,0,0,0,0,2023-11-07T07:58:32,0
1,0,0,0,0,0,0,2023-11-07T07:58:33,0
1,0,0,0,0,0,0,2023-11-07T07:58:34,0
1,0,0,0,0,0,0,2023-11-07T07:58:35,0
1,0,0,0,0,0,0,2023-11-07T07:58:36,0
1,0,0,0,0,0,0,2023-11-07T07:58:37,0
1,0,0,0,0,0,0,2023-11-07T07:58:38,0
1,0,0,0,0,0,0,2023-11-07T07:58:39,0
1,0,0,1,0,157,0,2023-11-07T07:58:40,0
1,0,0,0,0,0,0,2023-11-07T07:58:41,0
1,0,0,0,0,0,0,2023-11-07T07:58:42,0
1,0,0,0,0,0,0,2023-11-07T07:58:43,0
1,0,0,2,0,1993,0,2023-11-07T07:58:44,0
1,0,0,1,0,854,0,2023-11-07T07:58:45,0
1,0,0,0,0,0,0,2023-11-07T07:58:46,0
1,0,0,0,0,0,0,2023-11-07T07:58:47,0
1,0,0,0,0,0,0,2023-11-07T07:58:48,0
1,0,0,0,0,0,0,2023-11-07T07:58:49,0
1,0,0,0,0,0,0,2023-11-07T07:58:50,0
1,0,0,0,0,0,0,2023-11-07T07:58:51,0
1,0,0,0,0,0,0,2023-11-07T07:58:52,0
1,0,0,0,0,0,0,2023-11-07T07:58:53,0
1,0,0,0,0,0,0,2023-11-07T07:58:54,0
1,0,0,0,0,0,0,2023-11-07T07:58:55,0
1,0,0,0,0,0,0,2023-11-07T07:58:56,0
1,0,0,0,0,0,0,2023-11-07T07:58:57,0
1,0,0,0,0,0,0,2023-11-07T07:58:58,0
1,0,0,0,0,0,0,2023-11-07T07:58:59,0
1,0,0,0,0,0,0,2023-11-07T07:59:00,0
