ps_id,rst_client,rst_server,rx_count,tx_count,rx_size,tx_size,time,throughput
1,0,0,0,0,0,0,2023-11-07T07:35:00,0
1,0,0,0,0,0,0,2023-11-07T07:35:47,0
1,0,0,1,0,903,0,2023-11-07T07:35:48,0
1,0,0,1,0,1011,0,2023-11-07T07:35:49,0
1,0,0,1,0,1035,0,2023-11-07T07:35:50,0
1,0,0,0,0,0,0,2023-11-07T07:35:51,0
1,0,0,0,0,0,0,2023-11-07T07:35:52,0
1,0,0,0,0,0,0,2023-11-07T07:35:53,0
1,0,0,2,0,1883,0,2023-11-07T07:35:54,0
1,0,0,2,0,2204,0,2023-11-07T07:35:55,0
1,0,0,2,0,1228,0,2023-11-07T07:35:56,0
1,0,0,1,0,217,0,2023-11-07T07:35:57,0
1,0,0,1,0,217,0,2023-11-07T07:35:58,0
1,0,0,1,0,217,0,2023-11-07T07:35:59,0
1,0,0,0,0,0,0,2023-11-07T07:36:00,0
