ps_id,rst_client,rst_server,rx_count,tx_count,rx_size,tx_size,time,throughput
1,0,0,0,0,0,0,2023-11-07T08:14:01,0
1,0,0,0,0,0,0,2023-11-07T08:14:02,0
1,0,0,0,0,0,0,2023-11-07T08:14:03,0
1,0,0,0,0,0,0,2023-11-07T08:14:04,0
1,0,0,0,0,0,0,2023-11-07T08:14:05,0
1,0,0,0,0,0,0,2023-11-07T08:14:06,0
1,0,0,0,0,0,0,2023-11-07T08:14:07,0
1,0,0,0,0,0,0,2023-11-07T08:14:08,0
1,0,0,1,0,335,0,2023-11-07T08:14:09,0
1,0,0,0,0,0,0,2023-11-07T08:14:10,0
1,0,0,0,0,0,0,2023-11-07T08:14:11,0
1,0,0,0,0,0,0,2023-11-07T08:14:12,0
1,0,0,0,0,0,0,2023-11-07T08:14:13,0
1,0,0,0,0,0,0,2023-11-07T08:14:14,0
1,0,0,0,0,0,0,2023-11-07T08:14:15,0
1,0,0,0,0,0,0,2023-11-07T08:14:16,0
