ps_id,rst_client,rst_server,rx_count,tx_count,rx_size,tx_size,time,throughput
1,0,0,0,0,0,0,2023-11-07T07:57:00,0
1,0,0,0,0,0,0,2023-11-07T07:57:31,0
1,0,0,0,0,0,0,2023-11-07T07:57:32,0
1,0,0,0,0,0,0,2023-11-07T07:57:33,0
1,0,0,0,0,0,0,2023-11-07T07:57:34,0
1,0,0,0,0,0,0,2023-11-07T07:57:35,0
1,0,0,0,0,0,0,2023-11-07T07:57:36,0
1,0,0,3,0,3319,0,2023-11-07T07:57:37,0
1,0,0,0,0,0,0,2023-11-07T07:57:38,0
1,0,0,2,0,1302,0,2023-11-07T07:57:39,0
1,0,0,0,0,0,0,2023-11-07T07:57:40,0
1,0,0,0,0,0,0,2023-11-07T07:57:41,0
1,0,0,1,0,1067,0,2023-11-07T07:57:42,0
1,0,0,3,0,2121,0,2023-11-07T07:57:43,0
1,0,0,1,0,595,0,2023-11-07T07:57:44,0
1,0,0,0,0,0,0,2023-11-07T07:57:45,0
1,0,0,0,0,0,0,2023-11-07T07:57:46,0
1,0,0,0,0,0,0,2023-11-07T07:57:47,0
1,0,0,1,0,1051,0,2023-11-07T07:57:48,0
1,0,0,0,0,0,0,2023-11-07T07:57:49,0
1,0,0,0,0,0,0,2023-11-07T07:57:50,0
1,0,0,0,0,0,0,2023-11-07T07:57:51,0
1,0,0,0,0,0,0,2023-11-07T07:57:52,0
1,0,0,0,0,0,0,2023-11-07T07:57:53,0
1,0,0,1,0,1107,0,2023-11-07T07:57:54,0
1,0,0,0,0,0,0,2023-11-07T07:57:55,0
1,0,0,1,0,217,0,2023-11-07T07:57:56,0
1,0,0,1,0,217,0,2023-11-07T07:57:57,0
1,0,0,1,0,217,0,2023-11-07T07:57:58,0
1,0,0,1,0,217,0,2023-11-07T07:57:59,0
1,0,0,0,0,0,0,2023-11-07T07:58:00,0
