ps_id,rst_client,rst_server,rx_count,tx_count,rx_size,tx_size,time,throughput
1,0,0,0,0,0,0,2023-11-07T06:23:00,0
1,0,0,0,0,0,0,2023-11-07T06:23:35,0
1,0,0,0,0,0,0,2023-11-07T06:23:36,0
1,0,0,0,0,0,0,2023-11-07T06:23:37,0
1,0,0,1,0,1043,0,2023-11-07T06:23:38,0
1,0,0,0,0,0,0,2023-11-07T06:23:39,0
1,0,0,0,0,0,0,2023-11-07T06:23:40,0
1,0,0,3,0,2743,0,2023-11-07T06:23:41,0
1,0,0,0,0,0,0,2023-11-07T06:23:42,0
1,0,0,0,0,0,0,2023-11-07T06:23:43,0
1,0,0,1,0,1007,0,2023-11-07T06:23:44,0
1,0,0,3,0,3080,0,2023-11-07T06:23:45,0
1,0,0,1,0,1075,0,2023-11-07T06:23:46,0
1,0,0,0,0,0,0,2023-11-07T06:23:47,0
1,0,0,0,0,0,0,2023-11-07T06:23:48,0
1,0,0,1,0,1099,0,2023-11-07T06:23:49,0
1,0,0,1,0,342,0,2023-11-07T06:23:50,0
1,0,0,0,0,0,0,2023-11-07T06:23:51,0
1,0,0,3,0,3094,0,2023-11-07T06:23:52,0
1,0,0,1,0,1117,0,2023-11-07T06:23:53,0
1,0,0,1,0,342,0,2023-11-07T06:23:54,0
1,0,0,1,0,822,0,2023-11-07T06:23:55,0
1,0,0,3,0,1401,0,2023-11-07T06:23:56,0
1,0,0,1,0,217,0,2023-11-07T06:23:57,0
1,0,0,1,0,217,0,2023-11-07T06:23:58,0
1,0,0,1,0,217,0,2023-11-07T06:23:59,0
1,0,0,0,0,0,0,2023-11-07T06:24:00,0
