ps_id,rst_client,rst_server,rx_count,tx_count,rx_size,tx_size,time,throughput
1,0,0,0,0,0,0,2023-11-08T02:24:00,0
1,0,0,0,0,0,0,2023-11-08T02:24:39,0
1,0,0,0,0,0,0,2023-11-08T02:24:40,0
1,0,0,0,0,0,0,2023-11-08T02:24:41,0
1,0,0,0,0,0,0,2023-11-08T02:24:42,0
1,0,0,2,0,1708,0,2023-11-08T02:24:43,0
1,0,0,0,0,0,0,2023-11-08T02:24:44,0
1,0,0,1,0,324,0,2023-11-08T02:24:45,0
1,0,0,0,0,0,0,2023-11-08T02:24:46,0
1,0,0,0,0,0,0,2023-11-08T02:24:47,0
1,0,0,0,0,0,0,2023-11-08T02:24:48,0
1,0,0,0,0,0,0,2023-11-08T02:24:49,0
1,0,0,0,0,0,0,2023-11-08T02:24:50,0
1,0,0,0,0,0,0,2023-11-08T02:24:51,0
1,0,0,1,0,342,0,2023-11-08T02:24:52,0
1,0,0,0,0,0,0,2023-11-08T02:24:53,0
1,0,0,0,0,0,0,2023-11-08T02:24:54,0
1,0,0,0,0,0,0,2023-11-08T02:24:55,0
1,0,0,0,0,0,0,2023-11-08T02:24:56,0
1,0,0,1,0,342,0,2023-11-08T02:24:57,0
1,0,0,0,0,0,0,2023-11-08T02:24:58,0
1,0,0,0,0,0,0,2023-11-08T02:24:59,0
1,0,0,0,0,0,0,2023-11-08T02:25:00,0
