ps_id,rst_client,rst_server,rx_count,tx_count,rx_size,tx_size,time,throughput
1,0,0,0,0,0,0,2023-11-07T07:33:00,0
1,0,0,0,0,0,0,2023-11-07T07:33:19,0
1,0,0,0,0,0,0,2023-11-07T07:33:20,0
1,0,0,3,0,2237,0,2023-11-07T07:33:21,0
1,0,0,1,0,1055,0,2023-11-07T07:33:22,0
1,0,0,1,0,1067,0,2023-11-07T07:33:23,0
1,0,0,0,0,0,0,2023-11-07T07:33:24,0
1,0,0,1,0,342,0,2023-11-07T07:33:25,0
1,0,0,0,0,0,0,2023-11-07T07:33:26,0
1,0,0,0,0,0,0,2023-11-07T07:33:27,0
1,0,0,0,0,0,0,2023-11-07T07:33:28,0
1,0,0,0,0,0,0,2023-11-07T07:33:29,0
1,0,0,0,0,0,0,2023-11-07T07:33:30,0
1,0,0,0,0,0,0,2023-11-07T07:33:31,0
1,0,0,0,0,0,0,2023-11-07T07:33:32,0
1,0,0,0,0,0,0,2023-11-07T07:33:33,0
1,0,0,1,0,1051,0,2023-11-07T07:33:34,0
1,0,0,0,0,0,0,2023-11-07T07:33:35,0
1,0,0,0,0,0,0,2023-11-07T07:33:36,0
1,0,0,2,0,1482,0,2023-11-07T07:33:37,0
1,0,0,0,0,0,0,2023-11-07T07:33:38,0
1,0,0,0,0,0,0,2023-11-07T07:33:39,0
1,0,0,1,0,1105,0,2023-11-07T07:33:40,0
1,0,0,1,0,342,0,2023-11-07T07:33:41,0
1,0,0,0,0,0,0,2023-11-07T07:33:42,0
1,0,0,0,0,0,0,2023-11-07T07:33:43,0
1,0,0,0,0,0,0,2023-11-07T07:33:44,0
1,0,0,1,0,1103,0,2023-11-07T07:33:45,0
1,0,0,2,0,1961,0,2023-11-07T07:33:46,0
1,0,0,0,0,0,0,2023-11-07T07:33:47,0
1,0,0,1,0,1011,0,2023-11-07T07:33:48,0
1,0,0,2,0,2150,0,2023-11-07T07:33:49,0
1,0,0,0,0,0,0,2023-11-07T07:33:50,0
1,0,0,0,0,0,0,2023-11-07T07:33:51,0
1,0,0,1,0,1007,0,2023-11-07T07:33:52,0
1,0,0,3,0,3098,0,2023-11-07T07:33:53,0
1,0,0,0,0,0,0,2023-11-07T07:33:54,0
1,0,0,0,0,0,0,2023-11-07T07:33:55,0
1,0,0,1,0,217,0,2023-11-07T07:33:56,0
1,0,0,1,0,217,0,2023-11-07T07:33:57,0
1,0,0,1,0,217,0,2023-11-07T07:33:58,0
1,0,0,1,0,217,0,2023-11-07T07:33:59,0
1,0,0,1,0,608,0,2023-11-07T07:34:00,0
