ps_id,rst_client,rst_server,rx_count,tx_count,rx_size,tx_size,time,throughput
1,0,0,0,0,0,0,2023-11-08T02:48:00,0
1,0,0,0,0,0,0,2023-11-08T02:48:07,0
1,0,0,0,0,0,0,2023-11-08T02:48:08,0
1,0,0,0,0,0,0,2023-11-08T02:48:09,0
1,0,0,0,0,0,0,2023-11-08T02:48:10,0
1,0,0,0,0,0,0,2023-11-08T02:48:11,0
1,0,0,0,0,0,0,2023-11-08T02:48:12,0
1,0,0,0,0,0,0,2023-11-08T02:48:13,0
1,0,0,1,0,1041,0,2023-11-08T02:48:14,0
1,0,0,0,0,0,0,2023-11-08T02:48:15,0
1,0,0,0,0,0,0,2023-11-08T02:48:16,0
1,0,0,0,0,0,0,2023-11-08T02:48:17,0
1,0,0,1,0,1041,0,2023-11-08T02:48:18,0
1,0,0,1,0,572,0,2023-11-08T02:48:19,0
1,0,0,0,0,0,0,2023-11-08T02:48:20,0
1,0,0,0,0,0,0,2023-11-08T02:48:21,0
1,0,0,0,0,0,0,2023-11-08T02:48:22,0
1,0,0,0,0,0,0,2023-11-08T02:48:23,0
1,0,0,1,0,70,0,2023-11-08T02:48:24,0
1,0,0,4,0,3358,0,2023-11-08T02:48:25,0
1,0,0,0,0,0,0,2023-11-08T02:48:26,0
1,0,0,0,0,0,0,2023-11-08T02:48:27,0
1,0,0,0,0,0,0,2023-11-08T02:48:28,0
1,0,0,0,0,0,0,2023-11-08T02:48:29,0
1,0,0,0,0,0,0,2023-11-08T02:48:30,0
1,0,0,0,0,0,0,2023-11-08T02:48:31,0
